# DatScan(filename: C:\Users\dgpor\Dropbox\Python\ExamplePeaks\387301.dat, namespace: 170, associations: 12)
# 387301.dat
# eta,roi1_sum,error
18.8205, -2.0, 1.7320508075688772
18.8305, -2.0, 1.7320508075688772
18.8405, -2.0, 1.7320508075688772
18.8505, -2.0, 1.7320508075688772
18.8605, -2.0, 1.7320508075688772
18.8705, -2.0, 1.7320508075688772
18.8805, -2.0, 1.7320508075688772
18.8905, -2.0, 1.7320508075688772
18.9005, -2.0, 1.7320508075688772
18.9105, -1.0, 1.4142135623730951
18.9205, -2.0, 1.7320508075688772
18.9305, -2.0, 1.7320508075688772
18.9405, -2.0, 1.7320508075688772
18.9505, -1.0, 1.4142135623730951
18.9605, -2.0, 1.7320508075688772
18.9705, -2.0, 1.7320508075688772
18.9805, -2.0, 1.7320508075688772
18.9905, -2.0, 1.7320508075688772
19.0005, -2.0, 1.7320508075688772
19.0105, -2.0, 1.7320508075688772
19.0205, -2.0, 1.7320508075688772
19.0305, -2.0, 1.7320508075688772
19.0405, -2.0, 1.7320508075688772
19.0505, -1.0, 1.4142135623730951
19.0605, -2.0, 1.7320508075688772
19.0705, 3.0, 2.0
19.0805, 9.0, 3.1622776601683795
19.0905, 10.0, 3.3166247903554
19.1005, 10.0, 3.3166247903554
19.1105, 12.0, 3.605551275463989
19.1205, 7.0, 2.8284271247461903
19.1305, 11.0, 3.4641016151377544
19.1405, 12.0, 3.605551275463989
19.1505, 15.0, 4.0
19.1605, 8.0, 3.0
19.1705, 4.0, 2.23606797749979
19.1805, 3.0, 2.0
19.1905, 5.0, 2.449489742783178
19.2005, 4.0, 2.23606797749979
19.2105, 3.0, 2.0
19.2205, 5.0, 2.449489742783178
19.2305, 1.0, 1.4142135623730951
19.2405, -1.0, 1.4142135623730951
19.2505, 0.0, 1.0
19.2605, -1.0, 1.4142135623730951
19.2705, 1.0, 1.4142135623730951
19.2805, 0.0, 1.0
19.2905, -1.0, 1.4142135623730951
19.3005, -1.0, 1.4142135623730951
19.3105, -2.0, 1.7320508075688772
19.3205, -2.0, 1.7320508075688772
19.3305, 1.0, 1.4142135623730951
19.3405, -2.0, 1.7320508075688772
19.3505, -2.0, 1.7320508075688772
19.3605, -2.0, 1.7320508075688772
19.3705, -2.0, 1.7320508075688772
19.3805, -2.0, 1.7320508075688772
19.3905, -2.0, 1.7320508075688772
19.4005, -2.0, 1.7320508075688772
19.4105, -2.0, 1.7320508075688772
19.4205, -2.0, 1.7320508075688772
